ID,Name,Shareholding,Percentage,CumulativePercentage
C00018,HANG SENG BANK LTD,588223521,31.84%,31.84%
C00010,CITIBANK N.A.,361395262,19.56%,51.41%
B01086,EVERBRIGHT SECURITIES INVESTMENT,346426715,18.75%,70.16%
B02180,PLUTUS SECURITIES LTD,55848000,3.02%,73.18%
C00019,THE HONGKONG AND SHANGHAI BANKING,20961595,1.13%,74.32%
B01353,UOB KAY HIAN (HONG KONG) LTD,19010000,1.02%,75.35%
C00033,BANK OF CHINA (HONG KONG) LTD,16048286,0.86%,76.22%
B01284,HANG SENG SECURITIES LTD,15112782,0.81%,77.03%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,12996300,0.70%,77.74%
B01130,BOCI SECURITIES LTD,9079500,0.49%,78.23%
B01894,MFG LIMITED,8680000,0.46%,78.70%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,7016701,0.37%,79.08%
B01584,CHIEF SECURITIES LTD,5845523,0.31%,79.40%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5748497,0.31%,79.71%
B01198,PO KAY SECURITIES & SHARES CO LTD,5668350,0.30%,80.01%
B01955,FUTU SECURITIES INTERNATIONAL,4692000,0.25%,80.27%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,4650200,0.25%,80.52%
B01727,ICBC (ASIA) SECURITIES LTD,3981040,0.21%,80.73%
B01590,INTERACTIVE BROKERS HONG KONG LTD,3948000,0.21%,80.95%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3813515,0.20%,81.15%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,3172400,0.17%,81.33%
C00028,NANYANG COMMERCIAL BANK LTD,2754027,0.14%,81.48%
C00015,DBS BANK (HONG KONG) LTD,2721363,0.14%,81.62%
B01183,CHONG HING SECURITIES LTD,2212000,0.11%,81.74%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,2208300,0.11%,81.86%
C00036,CHINA CONSTRUCTION BANK (ASIA),1923750,0.10%,81.97%
B01685,ARK SECURITIES (HONG KONG) LTD,1551500,0.08%,82.05%
B01686,FIRST SHANGHAI SECURITIES LTD,1452000,0.07%,82.13%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,1439530,0.07%,82.21%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,1312000,0.07%,82.28%
C00042,CMB WING LUNG BANK LTD,1248000,0.06%,82.35%
C00048,CHIYU BANKING CORPORATION LTD,1246201,0.06%,82.41%
B01118,EAST ASIA SECURITIES CO LTD,1164825,0.06%,82.48%
B01695,DAH SING SECURITIES LTD,1110400,0.06%,82.54%
B01462,MANGO FINANCIAL LTD,887081,0.04%,82.58%
B01556,LUK FOOK SECURITIES (HK) LTD,879800,0.04%,82.63%
B01700,REALINK FINANCIAL TRADE LTD,774000,0.04%,82.67%
B01184,QUAM SECURITIES LTD,750000,0.04%,82.71%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),700000,0.03%,82.75%
C00041,OCBC BANK (HONG KONG) LTD,684684,0.03%,82.79%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,654000,0.03%,82.82%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,588000,0.03%,82.86%
C00037,SHANGHAI COMMERCIAL BANK LTD,580652,0.03%,82.89%
B01610,KGI ASIA LTD,574737,0.03%,82.92%
B01445,VICTORY SECURITIES CO LTD,516000,0.02%,82.95%
B01939,SOOCHOW SECURITIES INTERNATIONAL,514000,0.02%,82.97%
B01673,FULBRIGHT SECURITIES LTD,495250,0.02%,83.00%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,494000,0.02%,83.03%
B01813,CCB INTERNATIONAL SECURITIES LTD,460000,0.02%,83.05%
B01497,SINOPAC SECURITIES (ASIA) LTD,385375,0.02%,83.07%
B01546,WO FUNG SECURITIES CO LTD,368000,0.01%,83.09%
C00003,THE BANK OF EAST ASIA LTD,356000,0.01%,83.11%
B01659,CHEER UNION SECURITIES LTD,350000,0.01%,83.13%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,346000,0.01%,83.15%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,333606,0.01%,83.17%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),317125,0.01%,83.19%
B01755,T G SECURITIES LTD,308000,0.01%,83.20%
B01119,CELESTIAL SECURITIES LTD,298200,0.01%,83.22%
B01423,PRUDENTIAL BROKERAGE LTD,263694,0.01%,83.23%
B02123,CHINA DIFI SECURITIES LTD,262000,0.01%,83.25%
C00093,BNP PARIBAS,246300,0.01%,83.26%
B01439,TAI TAK SECURITIES (ASIA) LTD,243210,0.01%,83.27%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,242000,0.01%,83.29%
B01444,YUEXING SECURITIES COMPANY LTD,230000,0.01%,83.30%
B01275,SANFULL SECURITIES LTD,209100,0.01%,83.31%
B01762,DBS VICKERS (HONG KONG) LTD,200000,0.01%,83.32%
B01252,CORPORATE BROKERS LTD,196940,0.01%,83.33%
B01940,SOFI SECURITIES (HONG KONG) LTD,192000,0.01%,83.34%
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,182000,0.00%,83.35%
B02132,BOOM SECURITIES (H.K.) LTD,182000,0.00%,83.36%
B01455,NATIONAL RESOURCES SECURITIES LTD,174700,0.00%,83.37%
B01773,TOYO SECURITIES ASIA LTD,174000,0.00%,83.38%
B01962,CHINA SECURITIES (INTERNATIONAL),172000,0.00%,83.39%
B01458,YICKO SECURITIES LTD,168000,0.00%,83.40%
B01427,TSE'S SECURITIES LTD,166000,0.00%,83.41%
B01649,CINDA INTERNATIONAL SECURITIES LTD,158400,0.00%,83.42%
B01351,WING FUNG SECURITIES LTD,156000,0.00%,83.43%
B01343,CELETIO INVESTMENTS LTD,151711,0.00%,83.43%
B01843,TELECOM KING SECURITIES LTD,144875,0.00%,83.44%
B01904,VALUABLE CAPITAL LTD,142000,0.00%,83.45%
,HONG KONG SECURITIES CLEARING CO. LTD.,138495,0.00%,83.46%
B02142,TIGER BROKERS (HK) GLOBAL LTD,138000,0.00%,83.46%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,123375,0.00%,83.47%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,116380,0.00%,83.48%
B01356,DELTA ASIA SECURITIES LTD,113785,0.00%,83.48%
B01173,RIFA SECURITIES LTD,112500,0.00%,83.49%
B01563,XINKONG INTERNATIONAL SECURITIES LTD,110500,0.00%,83.50%
B01289,SOUTH CHINA SECURITIES LTD,110000,0.00%,83.50%
B01438,KINGSTON SECURITIES LTD,110000,0.00%,83.51%
B01433,HING WAI ALLIED SECURITIES LTD,106250,0.00%,83.51%
B02032,FORTHRIGHT SECURITIES CO LTD,102000,0.00%,83.52%
B01123,HING WONG SECURITIES LTD,100000,0.00%,83.52%
B01328,BAN HIN SECURITIES CO LTD,100000,0.00%,83.53%
B01483,BULLISH SECURITIES LTD,100000,0.00%,83.53%
B01665,WINSOME STOCK CO LTD,100000,0.00%,83.54%
B01974,ARISTO SECURITIES LTD,100000,0.00%,83.55%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,96000,0.00%,83.55%
B01338,EMPEROR SECURITIES LTD,95000,0.00%,83.56%
B01552,CARRIER STOCK INVESTMENT CO LTD,90250,0.00%,83.56%
B01373,CHRISTFUND SECURITIES LTD,89000,0.00%,83.57%
B01724,RAMON INVESTMENT CO LTD,88750,0.00%,83.57%
B01224,MERRILL LYNCH FAR EAST LTD,88000,0.00%,83.58%
B01425,WELLFULL SECURITIES CO LTD,87260,0.00%,83.58%
B01809,CHINA SYSTEM SECURITIES LTD,84000,0.00%,83.58%
B01318,OKASAN INTERNATIONAL (ASIA) LTD,76000,0.00%,83.59%
B01759,WINLAND WEALTH MANAGEMENT LTD,70000,0.00%,83.59%
B01298,GET NICE SECURITIES LTD,62426,0.00%,83.60%
B01158,SOLID KING SECURITIES LTD,60000,0.00%,83.60%
B01272,FB SECURITIES (HONG KONG) LTD,60000,0.00%,83.60%
B01481,NEW REGION SECURITIES CO LTD,60000,0.00%,83.61%
B01787,SOO PUI CHEN SECURITIES LTD,60000,0.00%,83.61%
