StockCode,StockName
00001,CK HUTCHISON HOLDINGS LIMITED
00002,CLP HOLDINGS LIMITED
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE"
00004,"WHARF (HOLDINGS) LIMITED, THE"
00005,HSBC HOLDINGS PLC
00006,POWER ASSETS HOLDINGS LIMITED
00007,WISDOM WEALTH RESOURCES INVESTMENT HOLDING GROUP LIMITED
00008,PCCW LIMITED
00010,HANG LUNG GROUP LIMITED
00012,HENDERSON LAND DEVELOPMENT CO LTD
00013,HUTCHMED (CHINA) LIMITED
00014,HYSAN DEVELOPMENT COMPANY LIMITED
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES
00017,NEW WORLD DEVELOPMENT CO LTD
00018,ORIENTAL MEDIA GROUP LIMITED
00019,SWIRE PACIFIC LTD 'A'
00020,SENSETIME GROUP INC. -HKD TRADED SHARES
00021,GREAT CHINA HOLDINGS (HONG KONG) LIMITED
00022,MEXAN LIMITED
00023,BANK OF EAST ASIA LTD
00025,CHEVALIER INTERNATIONAL HOLDINGS LIMITED
00026,CHINA MOTOR BUS COMPANY LIMITED
00027,GALAXY ENTERTAINMENT GROUP LIMITED
00028,TIAN AN CHINA INVESTMENTS COMPANY LIMITED
00029,DYNAMIC HOLDINGS LIMITED
00030,YNBY INTERNATIONAL LIMITED
00031,CHINA AEROSPACE INTERNATIONAL HOLDINGS LIMITED
00032,"CROSS-HARBOUR (HOLDINGS) LIMITED, THE"
00033,INTERNATIONAL GENIUS COMPANY
00034,KOWLOON DEVELOPMENT COMPANY LIMITED
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD
00036,FAR EAST HOLDINGS INTERNATIONAL LIMITED
00037,FAR EAST HOTELS & ENTERTAINMENT LIMITED
00038,FIRST TRACTOR COMPANY LIMITED
00039,CHINA BEIDAHUANG INDUSTRY GROUP HOLDINGS LIMITED
00040,GOLD PEAK TECHNOLOGY GROUP LIMITED
00041,GREAT EAGLE HOLDINGS LIMITED
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE"
00046,COMPUTER AND TECHNOLOGIES HOLDINGS LIMITED
00048,CHINA AUTOMOTIVE INTERIOR DECORATION HOLDINGS LIMITED
00050,HONG KONG FERRY (HOLDINGS) CO LTD
00051,HARBOUR CENTRE DEVELOPMENT LTD
00052,FAIRWOOD HOLDINGS LIMITED
00053,GUOCO GROUP LIMITED
00055,NEWAY GROUP HOLDINGS LIMITED
00057,CHEN HSONG HOLDINGS LTD
00058,SUNWAY INTERNATIONAL HOLDINGS LIMITED
00059,SKYFAME REALTY (HOLDINGS) LIMITED
00060,HONG KONG FOOD INVESTMENT HOLDINGS LIMITED
00061,GREEN LEADER HOLDINGS GROUP LIMITED
00062,TRANSPORT INTERNATIONAL HOLDINGS LIMITED
00063,CHINA ASIA VALLEY GROUP LIMITED
00064,GET NICE HOLDINGS LIMITED
00065,GRAND OCEAN ADVANCED RESOURCES COMPANY LIMITED
00066,MTR CORPORATION LIMITED
